country,code,income,year,age,pop,dts,bsn,bsn_up,bsn_lp,psc,up,lp,exc,age_type
North Macedonia,MKD,Upper-mid,2020,0-4,107268,125,117.75751205803749,242.02499999999998,41,1.0615034048816605,3.048780487804878,0.5164755707055056,No-change,5y groups
North Macedonia,MKD,Upper-mid,2021,0-4,104008,99,97.91462793992751,224,30,1.0110848816250253,3.3,0.4419642857142857,No-change,5y groups
North Macedonia,MKD,Upper-mid,2022,0-4,101004,73,81.5420828465546,216,15.975000000000023,0.8952432590834226,4.569640062597802,0.33796296296296297,No-change,5y groups
North Macedonia,MKD,Upper-mid,2020,5-9,116906,18,9.788527252088992,22,2,1.8388874583925359,9,0.8181818181818182,No-change,5y groups
North Macedonia,MKD,Upper-mid,2021,5-9,116368,12,8.327678051835983,22,2,1.440977896276188,6,0.5454545454545454,No-change,5y groups
North Macedonia,MKD,Upper-mid,2022,5-9,115566,7,7.068548497334375,22,1,0.9903023234034222,7,0.3181818181818182,No-change,5y groups
North Macedonia,MKD,Upper-mid,2020,10-14,114904,20,17.67239767825292,28,9,1.1317083490380795,2.2222222222222223,0.7142857142857143,No-change,5y groups
North Macedonia,MKD,Upper-mid,2021,10-14,116077,12,17.08288745136437,28,9,0.7024573588138688,1.3333333333333333,0.42857142857142855,No-change,5y groups
North Macedonia,MKD,Upper-mid,2022,10-14,116746,15,16.44038144976206,28.024999999999977,8,0.9123875894143011,1.875,0.5352363960749336,No-change,5y groups
North Macedonia,MKD,Upper-mid,2020,15-19,128042,38,26.640975042207113,39,16,1.426374220155113,2.375,0.9743589743589743,No-change,5y groups
North Macedonia,MKD,Upper-mid,2021,15-19,123574,32,24.165308566443404,37,13,1.3242123481276817,2.4615384615384617,0.8648648648648649,No-change,5y groups
North Macedonia,MKD,Upper-mid,2022,15-19,119097,26,21.889388837832357,35,12,1.1877901293919682,2.1666666666666665,0.7428571428571429,No-change,5y groups
North Macedonia,MKD,Upper-mid,2020,20-24,140588,54,37.91249234721971,56,25,1.4243326317205325,2.16,0.9642857142857143,No-change,5y groups
North Macedonia,MKD,Upper-mid,2021,20-24,137414,60,34.820277497249286,55,21,1.7231338838336325,2.857142857142857,1.0909090909090908,Excess,5y groups
North Macedonia,MKD,Upper-mid,2022,20-24,135263,51,32.20678875670066,54.02499999999998,17.975000000000023,1.5835170772618363,2.837273991655073,0.9440074039796394,No-change,5y groups
Norway,NOR,High,2020,Stillbirths,53567,103,110.33300261400856,139,84.97500000000002,0.9335375414402298,1.2121212121212117,0.7410071942446043,No-change,<1m
Norway,NOR,High,2021,Stillbirths,56612,114,113.56567339499388,144,85,1.0038244532174392,1.3411764705882352,0.7916666666666666,No-change,<1m
Norway,NOR,High,2020,Neonatal,53464,64,72.88592441884644,97,53,0.8780844931350179,1.2075471698113207,0.6597938144329897,No-change,<1m
Norway,NOR,High,2021,Neonatal,56498,80,75.03123157061334,104,53,1.0662226692188899,1.509433962264151,0.7692307692307693,No-change,<1m
Norway,NOR,High,2020,Infant,53464,92,113.61119709878547,139,90,0.809779338210877,1.0222222222222221,0.6618705035971223,No-change,<5y
Norway,NOR,High,2021,Infant,56499,104,118.27169670201759,148.02499999999998,93.97500000000002,0.8793312592954953,1.106677307794626,0.7025840229690932,No-change,<5y
Norway,NOR,High,2022,Infant,51872,97,106.96789202424561,137,80,0.906814167918853,1.2125,0.708029197080292,No-change,<5y
Norway,NOR,High,2020,1-4,232550,21,23.218234777656026,53,7,0.9044615235008849,3,0.39622641509433965,No-change,<5y
Norway,NOR,High,2021,1-4,226360,17,21.979838333020908,57,6,0.7734360800306906,2.8333333333333335,0.2982456140350877,No-change,<5y
Norway,NOR,High,2022,1-4,221432,28,20.911112819451105,66,4,1.3390009533091396,7,0.42424242424242425,No-change,<5y
Norway,NOR,High,2020,0-4,286014,114,133.7676779552391,162.02499999999998,109,0.8522238087899403,1.0458715596330275,0.7035951242092271,No-change,5y groups
Norway,NOR,High,2021,0-4,282859,120,128.27507037455806,158.02499999999998,103.97500000000002,0.9354896446332465,1.1541235874008173,0.7593735168486,No-change,5y groups
Norway,NOR,High,2022,0-4,273304,124,120.17845355981422,152.02499999999998,95,1.0317989317301688,1.305263157894737,0.8156553198487092,No-change,5y groups
Norway,NOR,High,2020,5-9,312950,17,26.05569949291328,41,15,0.6524484212992907,1.1333333333333333,0.4146341463414634,No-change,5y groups
Norway,NOR,High,2021,5-9,308996,13,30.701799934763436,51,16,0.42342794323534727,0.8125,0.2549019607843137,Deficit,5y groups
Norway,NOR,High,2022,5-9,305104,25,36.17779389751749,64,18,0.6910316331288374,1.3888888888888888,0.390625,No-change,5y groups
Norway,NOR,High,2020,10-14,326447,32,31.577719842364417,47,19,1.013372724811785,1.6842105263157894,0.6808510638297872,No-change,5y groups
Norway,NOR,High,2021,10-14,327794,35,32.845073422214874,50.02499999999998,18.975000000000023,1.0656088220624174,1.8445322793148857,0.699650174912544,No-change,5y groups
