Country,Code,Income,Year,Sex,Age,Exposure,Deaths,Rate,bsn,bsn_lp,bsn_up,psc,up,lp,Source_dts,pop_yng,pop_in,fit_in,inc_in
Albania,ALB,Upper-mid,2015,f,15-19,118705,40,33.7,41.530042821834456,27,56.02499999999998,0.9631581689333093,1.4814814814814814,0.7139669790272203,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2016,f,15-19,113140,41,36.2,36.90848239550621,25,50,1.1108557529038894,1.64,0.82,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2017,f,15-19,108000,28,25.9,32.85113784631809,21,45,0.852329685838818,1.3333333333333333,0.6222222222222222,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2018,f,15-19,103842,33,31.8,29.45210583350272,19,42,1.1204631745707445,1.736842105263158,0.7857142857142857,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2019,f,15-19,99290,25,25.2,26.258231102836575,16,38,0.9520824118765314,1.5625,0.6578947368421053,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2021,f,15-19,91288,20,21.9,20.98973436869815,11.975000000000023,35,0.9528467415874431,1.6701461377870532,0.5714285714285714,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2015,m,15-19,120572,73,60.5,63.94868315807591,41.97500000000002,94.02499999999998,1.1415403163119087,1.7391304347826078,0.7763892581760172,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2016,m,15-19,115438,47,40.7,56.18282900621172,37,81,0.8365545279822695,1.2702702702702702,0.5802469135802469,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2017,m,15-19,110699,48,43.4,49.438829093446024,32,72,0.9708967805300072,1.5,0.6666666666666666,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2018,m,15-19,106825,38,35.6,43.779122162180855,26,64.02499999999998,0.8679936491012326,1.4615384615384615,0.5935181569699338,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2019,m,15-19,102776,46,44.8,38.650536580091554,20,64,1.1901516529965608,2.3,0.71875,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2021,m,15-19,95070,34,35.8,30.105555705706802,14,55,1.129359654821285,2.4285714285714284,0.6181818181818182,unicef_ccs,2866848.5,1,1,1
